temperatura,humedad,viento_vel,precipitacion,intensidad_mean,intensidad_max,ocupacion_mean,carga_mean,vmed_mean,vmed_max,distancia_meteo_km,distancia_trafico_km,mes_sin,mes_cos,dia_anio_sin,dia_anio_cos,finde,no2_lag1,no2_lag7,no2_roll_mean_3,no2_roll_mean_7,viento_vel_missing,precipitacion_missing,estacion,tipo_elem_moda,estacion_anio,no2
10.183333333333334,,11.022916666666667,0.0,850.7395833333334,1453.0,11.395833333333334,35.791666666666664,0.0,0.0,0.0,0.06,0.8660254037844386,0.5000000000000001,0.7802958510707755,0.6254105729852463,0,62.0,44.0,52.666666666666664,42.57142857142857,1,1,4,URB,invierno,58
30.19166666666667,,11.022916666666667,0.0,,,,,,,0.0,0.06,-0.8660254037844384,-0.5000000000000004,-0.6287628145958345,-0.7775971469736268,1,33.0,11.0,29.0,22.285714285714285,1,1,4,,verano,20
29.895833333333332,,11.022916666666667,0.0,,,,,,,0.0,0.06,-0.8660254037844384,-0.5000000000000004,-0.7856498550787144,-0.6186714032625032,0,26.0,18.0,22.333333333333332,19.0,1,1,4,,verano,22
16.820833333333333,,11.022916666666667,0.0,438.34375,687.0,29.25,43.34375,0.0,0.0,0.0,0.06,-0.8660254037844386,0.5000000000000001,-0.9778483415056568,0.2093146459630488,0,39.0,47.0,36.0,40.42857142857143,1,1,4,URB,otonio,55
9.966666666666669,,11.022916666666667,0.0,350.5520833333333,541.0,7.395833333333333,22.95833333333333,0.0,0.0,0.0,0.06,1.0,6.123233995736766e-17,0.9992500112396836,0.0387222808921744,0,28.0,40.0,33.333333333333336,33.714285714285715,1,1,4,URB,primavera,29
21.366666666666667,,11.022916666666667,0.0,393.4479166666667,576.0,11.229166666666666,28.08333333333333,0.0,0.0,0.0,0.06,-1.0,-1.8369701987210294e-16,-0.9175836260593934,-0.3975428142825566,0,39.0,31.0,30.666666666666668,29.142857142857142,1,1,4,URB,otonio,35
6.775,83.25,11.022916666666667,0.0,276.53125,527.0,9.15625,16.489583333333332,0.0,0.0,0.0,0.075,0.8660254037844386,0.5000000000000001,0.5234156073655503,0.8520775211013093,0,37.0,73.0,45.666666666666664,51.714285714285715,1,1,8,URB,invierno,44
6.845833333333333,76.70833333333333,11.022916666666667,0.0,,,,,,,0.0,0.075,1.0,6.123233995736766e-17,0.9657399376548548,0.2595117970697999,0,16.0,47.0,30.666666666666668,50.714285714285715,1,1,8,,primavera,23
30.95416666666667,27.708333333333332,11.022916666666667,0.0,,,,,,,0.0,0.075,-0.4999999999999998,-0.8660254037844388,-0.5012418134457756,-0.8653072543632061,0,32.0,37.0,37.333333333333336,36.42857142857143,1,1,8,,verano,46
16.566666666666666,44.541666666666664,11.022916666666667,0.0,,,,,,,0.0,0.075,-1.0,-1.8369701987210294e-16,-0.9995462806873572,-0.0301203048469083,0,14.0,37.0,19.666666666666668,28.714285714285715,1,1,8,,otonio,57
